replicon_gembase_name	size	mobility	Predicted_PTU
ESCO001.0523.00039.002P	97704	PP	PTU-Y
ESCO001.0523.00039.003P	74656	pMOB	PTU-E41
ESCO001.0523.00040.002P	174564	pCONJ	PTU-FE
ESCO001.0523.00040.003P	120611	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00040.004P	63800	pCONJ	PTU-FE
ESCO001.0523.00042.002P	143748	pCONJ	PTU-FE
ESCO001.0523.00043.002P	120653	pOriT	PTU-FE
ESCO001.0523.00043.003P	5167	pMOB	PTU-E7
ESCO001.0523.00043.004P	4237	pNT	-
ESCO001.0523.00043.005P	4073	pMOB	PTU-E10
ESCO001.0523.00043.006P	2101	pNT	PTU-E47
ESCO001.0523.00043.007P	1544	pOriT	PTU-E9
ESCO001.0523.00043.008P	1459	pOriT	PTU-E9
ESCO001.0523.00044.002P	145221	pCONJ	PTU-FE
ESCO001.0523.00045.002P	126302	pCONJ	PTU-FE
ESCO001.0523.00045.003P	62183	pdCONJ	PTU-FE
ESCO001.0523.00047.002P	114223	pCONJ	PTU-FE
ESCO001.0523.00048.002P	149732	pCONJ	PTU-FE
ESCO001.0523.00048.003P	109910	PP	PTU-E16
ESCO001.0523.00048.004P	62572	PP	-
ESCO001.0523.00049.002P	209768	pCONJ	PTU-FE
ESCO001.0523.00050.002P	114223	pCONJ	PTU-FE
ESCO001.0523.00050.003P	49467	pCONJ	PTU-N1
ESCO001.0523.00051.002P	81401	pNT	PTU-E5
ESCO001.0523.00052.002P	95170	pNT	PTU-E5
ESCO001.0523.00053.002P	186826	pCONJ	PTU-C
ESCO001.0523.00053.003P	129154	pMOB	PTU-FE
ESCO001.0523.00053.004P	82588	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00053.005P	4204	pMOB	PTU-E7
ESCO001.0523.00053.006P	4072	pMOB	PTU-E10
ESCO001.0523.00053.007P	1549	pOriT	PTU-E9
ESCO001.0523.00054.002P	111851	pCONJ	PTU-FE
ESCO001.0523.00054.003P	69471	pCONJ	PTU-L/M
ESCO001.0523.00054.004P	65196	pCONJ	PTU-FE
ESCO001.0523.00054.005P	37000	pCONJ	PTU-?
ESCO001.0523.00055.002P	63544	pCONJ	PTU-L/M
ESCO001.0523.00056.002P	133735	pCONJ	PTU-FE
ESCO001.0523.00056.003P	71170	pCONJ	PTU-N2/3
ESCO001.0523.00057.002P	125977	pCONJ	-
ESCO001.0523.00058.002P	66029	pOriT	PTU-E41
ESCO001.0523.00059.002P	105489	pCONJ	PTU-I1
ESCO001.0523.00059.003P	77062	pMOB	PTU-E5
ESCO001.0523.00060.002P	98216	PP	PTU-Y
ESCO001.0523.00060.003P	93029	pCONJ	PTU-I1
ESCO001.0523.00061.002P	40158	pCONJ	PTU-X4
ESCO001.0523.00061.003P	8556	pMOB	-
ESCO001.0523.00063.002P	212180	pCONJ	PTU-FE
ESCO001.0523.00063.003P	88023	pCONJ	PTU-I1
ESCO001.0523.00064.002P	113852	pCONJ	PTU-FK
ESCO001.0523.00064.003P	101201	pCONJ	PTU-FE
ESCO001.0523.00065.002P	213847	pCONJ	PTU-E79
ESCO001.0523.00065.003P	136480	PP	PTU-Y
ESCO001.0523.00066.002P	225292	pCONJ	PTU-E79
ESCO001.0523.00067.002P	242187	pCONJ	PTU-E79
ESCO001.0523.00069.002P	223952	pCONJ	PTU-E79
ESCO001.0523.00070.002P	129035	pCONJ	-
ESCO001.0523.00070.003P	114472	PP	PTU-E16
ESCO001.0523.00070.004P	100096	pCONJ	PTU-I1
ESCO001.0523.00070.005P	65888	pCONJ	PTU-I2
ESCO001.0523.00070.006P	8972	pMOB	PTU-E1
ESCO001.0523.00073.002P	151033	pCONJ	PTU-FE
ESCO001.0523.00074.002P	126046	PP	PTU-Y
ESCO001.0523.00074.003P	90835	pCONJ	-
ESCO001.0523.00074.004P	86371	pCONJ	PTU-I2
ESCO001.0523.00074.005P	49695	pCONJ	PTU-X4
ESCO001.0523.00074.006P	7395	pNT	PTU-I2
ESCO001.0523.00076.002P	95721	PP	PTU-Y
ESCO001.0523.00076.003P	52297	pNT	-
ESCO001.0523.00076.004P	34714	pNT	-
ESCO001.0523.00077.002P	137565	pCONJ	PTU-C
ESCO001.0523.00077.003P	136327	pCONJ	-
ESCO001.0523.00077.004P	98242	PP	PTU-Y
ESCO001.0523.00077.005P	50899	pMOB	-
ESCO001.0523.00079.002P	63329	pCONJ	PTU-I2
ESCO001.0523.00080.002P	106519	pOriT	PTU-E38
ESCO001.0523.00080.003P	66990	pNT	-
ESCO001.0523.00080.004P	57478	pNT	PTU-E29
ESCO001.0523.00080.005P	39792	pNT	PTU-E38
ESCO001.0523.00081.002P	92690	pNT	PTU-E5
ESCO001.0523.00082.002P	92691	pNT	PTU-E5
ESCO001.0523.00084.002P	207960	pCONJ	PTU-I1
ESCO001.0523.00084.003P	67946	pNT	PTU-E45
ESCO001.0523.00084.004P	64467	pCONJ	PTU-I2
ESCO001.0523.00084.005P	61085	pCONJ	PTU-FE
ESCO001.0523.00084.006P	5310	pMOB	PTU-E22
ESCO001.0523.00085.002P	119254	pCONJ	PTU-I1
ESCO001.0523.00085.003P	67946	pNT	PTU-E45
ESCO001.0523.00085.004P	64467	pCONJ	PTU-I2
ESCO001.0523.00085.005P	61085	pCONJ	PTU-FE
ESCO001.0523.00085.006P	5310	pMOB	PTU-E22
ESCO001.0523.00086.002P	120326	pCONJ	PTU-I1
ESCO001.0523.00086.003P	67946	pNT	PTU-E45
ESCO001.0523.00086.004P	65539	pCONJ	PTU-I2
ESCO001.0523.00086.005P	61085	pCONJ	-
ESCO001.0523.00086.006P	5310	pMOB	PTU-E22
ESCO001.0523.00087.002P	120326	pCONJ	PTU-I1
ESCO001.0523.00087.003P	67946	pNT	PTU-E45
ESCO001.0523.00087.004P	64467	pCONJ	PTU-I2
ESCO001.0523.00087.005P	62157	pCONJ	PTU-FE
ESCO001.0523.00087.006P	5310	pMOB	PTU-E22
ESCO001.0523.00088.002P	77339	pOriT	-
ESCO001.0523.00090.002P	137665	pOriT	PTU-E38
ESCO001.0523.00090.003P	113343	PP	PTU-E16
ESCO001.0523.00090.004P	47563	pNT	PTU-E29
ESCO001.0523.00090.005P	5538	pMOB	PTU-E1
ESCO001.0523.00091.002P	91420	pNT	PTU-E5
ESCO001.0523.00092.002P	94170	pNT	PTU-E5
ESCO001.0523.00093.002P	95341	pNT	PTU-E5
ESCO001.0523.00094.002P	92522	pNT	PTU-E5
ESCO001.0523.00095.002P	95229	pNT	PTU-E5
ESCO001.0523.00096.002P	91353	pNT	PTU-E5
ESCO001.0523.00097.002P	92495	pNT	PTU-E5
ESCO001.0523.00098.002P	91789	pNT	PTU-E5
ESCO001.0523.00099.002P	113140	pCONJ	PTU-E50
ESCO001.0523.00099.003P	4074	pMOB	PTU-E10
ESCO001.0523.00110.002P	8401	pOriT	-
ESCO001.0523.00111.002P	63684	pMOB	-
ESCO001.0523.00112.002P	214445	pCONJ	-
ESCO001.0523.00112.003P	86032	pCONJ	-
ESCO001.0523.00113.002P	143617	pCONJ	-
ESCO001.0523.00113.003P	42655	pCONJ	PTU-X1
ESCO001.0523.00113.004P	7982	pMOB	PTU-E1
ESCO001.0523.00114.002P	93062	pCONJ	PTU-I1
ESCO001.0523.00114.003P	56460	pNT	-
ESCO001.0523.00115.002P	91607	PP	-
ESCO001.0523.00115.003P	55203	pOriT	-
ESCO001.0523.00116.002P	83922	pCONJ	PTU-FE
ESCO001.0523.00116.003P	27342	pNT	-
ESCO001.0523.00117.002P	174041	pCONJ	PTU-FE
ESCO001.0523.00117.003P	90974	pCONJ	PTU-I1
ESCO001.0523.00118.002P	114159	PP	PTU-E16
ESCO001.0523.00119.002P	112874	pOriT	-
ESCO001.0523.00119.003P	88754	pOriT	PTU-FE
ESCO001.0523.00120.002P	199494	pCONJ	PTU-?
ESCO001.0523.00121.002P	114159	PP	PTU-E16
ESCO001.0523.00121.003P	78557	pNT	-
ESCO001.0523.00121.004P	39406	pCONJ	PTU-?
ESCO001.0523.00121.005P	4600	pOriT	-
ESCO001.0523.00122.002P	128612	pCONJ	PTU-?
ESCO001.0523.00122.003P	6822	pMOB	PTU-E14
ESCO001.0523.00123.002P	4075	pOriT	-
ESCO001.0523.00123.003P	3989	pNT	-
ESCO001.0523.00124.002P	29433	pOriT	-
ESCO001.0523.00124.003P	11518	pNT	-
ESCO001.0523.00124.004P	5023	pOriT	PTU-E76
ESCO001.0523.00125.002P	48243	pMOB	-
ESCO001.0523.00126.002P	106274	pCONJ	PTU-FE
ESCO001.0523.00126.003P	94395	PP	PTU-Y
ESCO001.0523.00126.004P	6647	pMOB	PTU-E1
ESCO001.0523.00133.002P	116417	pMOB	-
ESCO001.0523.00134.002P	201930	pCONJ	PTU-E78
ESCO001.0523.00134.003P	4980	pOriT	PTU-?
ESCO001.0523.00135.002P	200925	pCONJ	PTU-E78
ESCO001.0523.00135.003P	4980	pOriT	PTU-?
ESCO001.0523.00136.002P	146575	pCONJ	PTU-E32
ESCO001.0523.00136.003P	6039	pMOB	PTU-E22
ESCO001.0523.00136.004P	6038	pMOB	PTU-E7
ESCO001.0523.00136.005P	5283	pMOB	PTU-E7
ESCO001.0523.00137.002P	162720	pCONJ	PTU-E78
ESCO001.0523.00137.003P	40584	pCONJ	PTU-?
ESCO001.0523.00137.004P	33372	pCONJ	-
ESCO001.0523.00137.005P	4962	pOriT	PTU-?
ESCO001.0523.00138.002P	146524	pCONJ	PTU-E32
ESCO001.0523.00138.003P	6039	pMOB	PTU-E22
ESCO001.0523.00138.004P	6037	pMOB	PTU-E7
ESCO001.0523.00139.002P	116581	pCONJ	PTU-?
ESCO001.0523.00139.003P	5066	pMOB	PTU-E7
ESCO001.0523.00139.004P	4372	pMOB	PTU-E22
ESCO001.0523.00139.005P	3904	pNT	PTU-E7
ESCO001.0523.00139.006P	3258	pOriT	PTU-E58
ESCO001.0523.00140.002P	138950	pOriT	PTU-E32
ESCO001.0523.00140.003P	61005	pCONJ	PTU-FE
ESCO001.0523.00140.004P	56029	pNT	-
ESCO001.0523.00140.005P	6039	pMOB	PTU-E22
ESCO001.0523.00140.006P	6038	pMOB	PTU-E7
ESCO001.0523.00140.007P	5282	pMOB	PTU-E7
ESCO001.0523.00141.002P	146496	pCONJ	PTU-E32
ESCO001.0523.00141.003P	61058	pCONJ	PTU-FE
ESCO001.0523.00141.004P	6039	pMOB	PTU-E22
ESCO001.0523.00141.005P	6036	pMOB	PTU-E7
ESCO001.0523.00141.006P	5312	pMOB	PTU-E7
ESCO001.0523.00142.002P	57582	pCONJ	PTU-I2
ESCO001.0523.00143.002P	146552	pCONJ	PTU-E32
ESCO001.0523.00143.003P	61063	pOriT	-
ESCO001.0523.00143.004P	11321	pMOB	PTU-E7
ESCO001.0523.00143.005P	6039	pMOB	PTU-E22
ESCO001.0523.00144.002P	5101	pMOB	-
ESCO001.0523.00145.002P	155425	pCONJ	PTU-FE
ESCO001.0523.00145.003P	136060	pCONJ	PTU-I1
ESCO001.0523.00145.004P	117266	pMOB	PTU-E49
ESCO001.0523.00146.002P	184614	pCONJ	PTU-FE
ESCO001.0523.00147.002P	62376	pMOB	-
ESCO001.0523.00148.002P	131504	pMOB	-
ESCO001.0523.00148.003P	113250	PP	-
ESCO001.0523.00148.004P	7618	pMOB	PTU-Q1
ESCO001.0523.00151.002P	369298	pCONJ	-
ESCO001.0523.00151.003P	120528	pCONJ	-
ESCO001.0523.00152.002P	275899	pCONJ	PTU-HI2
ESCO001.0523.00152.003P	86028	pCONJ	PTU-I1
ESCO001.0523.00152.004P	67403	pCONJ	PTU-FE
ESCO001.0523.00155.002P	142304	pCONJ	PTU-I1
ESCO001.0523.00155.003P	108340	pCONJ	-
ESCO001.0523.00155.004P	85009	pCONJ	-
ESCO001.0523.00155.005P	68786	pCONJ	PTU-FE
ESCO001.0523.00155.006P	33304	pCONJ	PTU-X4
ESCO001.0523.00155.007P	29168	pNT	-
ESCO001.0523.00155.008P	20225	pNT	PTU-N2/3
ESCO001.0523.00156.002P	143972	pOriT	-
ESCO001.0523.00156.003P	87114	pCONJ	PTU-I1
ESCO001.0523.00156.004P	55436	pCONJ	PTU-N1
ESCO001.0523.00156.005P	27133	pNT	-
ESCO001.0523.00156.006P	6647	pMOB	PTU-E1
ESCO001.0523.00156.007P	4063	pMOB	PTU-E10
ESCO001.0523.00156.008P	4062	pMOB	PTU-E10
ESCO001.0523.00156.009P	2883	pOriT	-
ESCO001.0523.00157.002P	132345	pCONJ	PTU-FE
ESCO001.0523.00157.003P	43380	pCONJ	PTU-X3
ESCO001.0523.00157.004P	35225	pCONJ	PTU-X4
ESCO001.0523.00157.005P	16559	pOriT	-
ESCO001.0523.00158.002P	216226	pCONJ	PTU-C
ESCO001.0523.00158.003P	101186	pCONJ	PTU-FK
ESCO001.0523.00158.004P	97654	pNT	PTU-FE
ESCO001.0523.00159.002P	118495	pNT	-
ESCO001.0523.00159.003P	54644	pCONJ	PTU-N1
ESCO001.0523.00160.002P	82364	pOriT	PTU-FE
ESCO001.0523.00160.003P	44320	pMOB	-
ESCO001.0523.00160.004P	5167	pMOB	PTU-E7
ESCO001.0523.00160.005P	4087	pMOB	PTU-E10
ESCO001.0523.00161.002P	95926	pCONJ	PTU-I1
ESCO001.0523.00161.003P	70876	pCONJ	PTU-L/M
ESCO001.0523.00161.004P	70152	pCONJ	PTU-FE
ESCO001.0523.00161.005P	4073	pMOB	PTU-E10
ESCO001.0523.00161.006P	3164	pNT	-
ESCO001.0523.00162.002P	117844	pCONJ	PTU-FE
ESCO001.0523.00162.003P	58431	pCONJ	PTU-N1
ESCO001.0523.00163.002P	150994	pCONJ	PTU-FE
ESCO001.0523.00163.003P	85865	pMOB	PTU-FK
ESCO001.0523.00163.004P	34532	pCONJ	PTU-N3
ESCO001.0523.00163.005P	6994	pMOB	PTU-E14
ESCO001.0523.00163.006P	6075	pMOB	PTU-E7
ESCO001.0523.00163.007P	5631	pMOB	PTU-E22
ESCO001.0523.00163.008P	2571	pOriT	-
ESCO001.0523.00164.002P	154853	pCONJ	PTU-FE
ESCO001.0523.00164.003P	116562	pCONJ	PTU-I1
ESCO001.0523.00164.004P	110226	pCONJ	PTU-FK
ESCO001.0523.00165.002P	272202	pCONJ	-
ESCO001.0523.00165.003P	112917	PP	PTU-E16
ESCO001.0523.00165.004P	12602	pOriT	PTU-E52
ESCO001.0523.00165.005P	1597	pOriT	PTU-E9
ESCO001.0523.00166.002P	128248	pCONJ	PTU-FE
ESCO001.0523.00166.003P	47531	pCONJ	PTU-N1
ESCO001.0523.00167.002P	142829	pdCONJ	PTU-FE
ESCO001.0523.00167.003P	109057	PP	PTU-E16
ESCO001.0523.00168.002P	100168	pMOB	PTU-FE
ESCO001.0523.00168.003P	14029	pMOB	-
ESCO001.0523.00168.004P	4074	pMOB	PTU-E10
ESCO001.0523.00169.002P	147346	pCONJ	PTU-FE
ESCO001.0523.00169.003P	109344	PP	PTU-E16
ESCO001.0523.00169.004P	59373	pCONJ	PTU-N1
ESCO001.0523.00169.005P	6647	pMOB	PTU-E1
ESCO001.0523.00169.006P	4063	pMOB	PTU-E10
ESCO001.0523.00169.007P	3256	pOriT	PTU-E58
ESCO001.0523.00169.008P	3087	pOriT	-
ESCO001.0523.00169.009P	1459	pOriT	PTU-E9
ESCO001.0523.00170.002P	146162	pCONJ	PTU-FK
ESCO001.0523.00170.003P	99006	pOriT	PTU-FE
ESCO001.0523.00170.004P	4921	pMOB	PTU-E7
ESCO001.0523.00170.005P	4073	pMOB	PTU-E10
ESCO001.0523.00171.002P	130905	pCONJ	PTU-FE
ESCO001.0523.00171.003P	74891	pNT	PTU-B/O/K/Z
ESCO001.0523.00171.004P	55746	pCONJ	PTU-E8
ESCO001.0523.00172.002P	199671	pOriT	PTU-HI2
ESCO001.0523.00172.003P	158911	pCONJ	PTU-FE
ESCO001.0523.00172.004P	73464	pNT	PTU-E56
ESCO001.0523.00172.005P	37756	pCONJ	PTU-X4
ESCO001.0523.00174.002P	141885	pdCONJ	PTU-C
ESCO001.0523.00174.003P	113431	pCONJ	PTU-E25
ESCO001.0523.00174.004P	91291	PP	PTU-E25
ESCO001.0523.00175.002P	87982	pCONJ	PTU-N1
ESCO001.0523.00175.003P	50999	pOriT	-
ESCO001.0523.00176.002P	136975	pCONJ	PTU-C
ESCO001.0523.00176.003P	31196	pNT	-
ESCO001.0523.00177.002P	111212	PP	PTU-E16
ESCO001.0523.00177.003P	107210	pMOB	PTU-FE
ESCO001.0523.00177.004P	51515	pCONJ	PTU-N1
ESCO001.0523.00181.002P	147225	pCONJ	PTU-FE
ESCO001.0523.00181.003P	54159	pCONJ	PTU-E80
ESCO001.0523.00181.004P	5828	pMOB	PTU-E1
ESCO001.0523.00181.005P	2454	pOriT	-
ESCO001.0523.00181.006P	1934	pOriT	PTU-E11
ESCO001.0523.00185.002P	37362	pCONJ	PTU-X1
ESCO001.0523.00186.002P	151137	pCONJ	PTU-FE
ESCO001.0523.00186.003P	64749	pNT	-
ESCO001.0523.00188.002P	183508	pCONJ	-
ESCO001.0523.00188.003P	111688	pdCONJ	PTU-C
ESCO001.0523.00188.004P	92438	pCONJ	PTU-?
ESCO001.0523.00188.005P	63392	pCONJ	PTU-I2
ESCO001.0523.00189.002P	154099	pMOB	PTU-HI2
ESCO001.0523.00189.003P	60961	pCONJ	PTU-I2
ESCO001.0523.00190.002P	223982	pCONJ	PTU-HI2
ESCO001.0523.00190.003P	86725	pCONJ	PTU-I1
ESCO001.0523.00190.004P	75553	pCONJ	PTU-FE
ESCO001.0523.00191.002P	86922	PP	PTU-Y
ESCO001.0523.00191.003P	83138	pdCONJ	PTU-E41
ESCO001.0523.00192.002P	86917	PP	PTU-Y
ESCO001.0523.00192.003P	81853	pdCONJ	PTU-E41
ESCO001.0523.00193.002P	135720	pMOB	PTU-FE
ESCO001.0523.00196.002P	148529	pCONJ	-
ESCO001.0523.00197.002P	150853	pCONJ	PTU-?
ESCO001.0523.00197.003P	92538	PP	PTU-E25
ESCO001.0523.00197.004P	45484	pNT	-
ESCO001.0523.00197.005P	5167	pMOB	PTU-E7
ESCO001.0523.00198.002P	150853	pCONJ	PTU-?
ESCO001.0523.00198.003P	92538	PP	PTU-E25
ESCO001.0523.00198.004P	45476	pNT	-
ESCO001.0523.00199.002P	150853	pCONJ	PTU-FE
ESCO001.0523.00199.003P	92537	PP	PTU-E25
ESCO001.0523.00199.004P	42856	pNT	-
ESCO001.0523.00199.005P	5167	pMOB	PTU-E7
ESCO001.0523.00200.002P	90842	PP	PTU-Y
ESCO001.0523.00200.003P	87704	pCONJ	PTU-FE
ESCO001.0523.00200.004P	46161	pCONJ	PTU-X3
ESCO001.0523.00200.005P	38448	pMOB	-
ESCO001.0523.00200.006P	5167	pMOB	PTU-E7
ESCO001.0523.00200.007P	2101	pNT	PTU-E47
ESCO001.0523.00200.008P	2058	pOriT	-
ESCO001.0523.00201.002P	98397	pNT	-
ESCO001.0523.00201.003P	46161	pCONJ	PTU-X3
ESCO001.0523.00201.004P	4097	pOriT	-
ESCO001.0523.00201.005P	2088	pNT	PTU-E47
ESCO001.0523.00202.002P	109553	pCONJ	PTU-I1
ESCO001.0523.00202.003P	91014	pOriT	-
ESCO001.0523.00202.004P	82675	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00202.005P	67351	pMOB	PTU-FE
ESCO001.0523.00202.006P	46161	pCONJ	PTU-X3
ESCO001.0523.00202.007P	8899	pMOB	PTU-E1
ESCO001.0523.00202.008P	6548	pMOB	PTU-E14
ESCO001.0523.00202.009P	5793	pMOB	PTU-E1
ESCO001.0523.00202.010P	4658	pMOB	PTU-E3
ESCO001.0523.00202.011P	4234	pMOB	PTU-E20
ESCO001.0523.00202.012P	2790	pOriT	-
ESCO001.0523.00202.013P	1902	pNT	PTU-E9
ESCO001.0523.00203.002P	88392	pNT	-
ESCO001.0523.00203.003P	46161	pCONJ	PTU-X3
ESCO001.0523.00203.004P	2959	pOriT	-
ESCO001.0523.00203.005P	2444	pMOB	-
ESCO001.0523.00203.006P	1989	pOriT	-
ESCO001.0523.00203.007P	1521	pNT	-
ESCO001.0523.00204.002P	48528	pMOB	PTU-I1
ESCO001.0523.00204.003P	46161	pCONJ	PTU-X3
ESCO001.0523.00205.002P	244955	pCONJ	-
ESCO001.0523.00205.003P	97474	PP	PTU-E25
ESCO001.0523.00205.004P	64372	pNT	-
ESCO001.0523.00206.002P	95850	pCONJ	PTU-E50
ESCO001.0523.00206.003P	84929	pCONJ	PTU-FE
ESCO001.0523.00206.004P	49828	pCONJ	PTU-X3
ESCO001.0523.00206.005P	23332	pNT	-
ESCO001.0523.00207.002P	163045	pCONJ	PTU-FE
ESCO001.0523.00208.002P	50228	pMOB	PTU-I1
ESCO001.0523.00208.003P	46161	pCONJ	PTU-X3
ESCO001.0523.00209.002P	216378	pCONJ	PTU-E25
ESCO001.0523.00209.003P	128094	pdCONJ	PTU-C
ESCO001.0523.00209.004P	9396	pMOB	-
ESCO001.0523.00210.002P	114267	pCONJ	PTU-?
ESCO001.0523.00210.003P	85195	pCONJ	PTU-N1
ESCO001.0523.00210.004P	31765	pCONJ	PTU-X4
ESCO001.0523.00211.002P	117703	pCONJ	PTU-FE
ESCO001.0523.00211.003P	50235	pMOB	PTU-I1
ESCO001.0523.00211.004P	46159	pCONJ	PTU-X3
ESCO001.0523.00212.002P	134899	pMOB	PTU-FE
ESCO001.0523.00213.002P	118934	pCONJ	PTU-I1
ESCO001.0523.00213.003P	92385	pOriT	PTU-E49
ESCO001.0523.00213.004P	78672	pCONJ	PTU-FE
ESCO001.0523.00214.002P	125099	pCONJ	PTU-I1
ESCO001.0523.00214.003P	92350	pOriT	PTU-E49
ESCO001.0523.00214.004P	84091	pCONJ	PTU-FE
ESCO001.0523.00215.002P	169449	pCONJ	PTU-FE
ESCO001.0523.00215.003P	101165	pMOB	PTU-E65
ESCO001.0523.00215.004P	67973	pdCONJ	PTU-I1
ESCO001.0523.00216.002P	151110	pMOB	PTU-FE
ESCO001.0523.00216.003P	138340	pCONJ	PTU-C
ESCO001.0523.00216.004P	75318	pCONJ	PTU-FE
ESCO001.0523.00217.002P	145220	pNT	-
ESCO001.0523.00217.003P	113793	pCONJ	PTU-FV
ESCO001.0523.00217.004P	57232	pCONJ	PTU-N1
ESCO001.0523.00217.005P	47900	pCONJ	-
ESCO001.0523.00217.006P	7537	pNT	-
ESCO001.0523.00218.002P	233149	pCONJ	PTU-HI2
ESCO001.0523.00218.003P	173624	pCONJ	PTU-FE
ESCO001.0523.00218.004P	113428	PP	PTU-E16
ESCO001.0523.00219.002P	77422	pOriT	-
ESCO001.0523.00220.002P	110961	pCONJ	PTU-FE
ESCO001.0523.00222.002P	111755	pCONJ	PTU-I1
ESCO001.0523.00222.003P	107692	pNT	PTU-E5
ESCO001.0523.00225.002P	96497	pCONJ	PTU-FE
ESCO001.0523.00225.003P	87516	pCONJ	PTU-E50
ESCO001.0523.00225.004P	63011	pCONJ	PTU-I2
ESCO001.0523.00225.005P	58983	pCONJ	PTU-?
ESCO001.0523.00225.006P	6078	pMOB	PTU-E7
ESCO001.0523.00225.007P	4825	pNT	-
ESCO001.0523.00225.008P	3133	pOriT	PTU-E1
ESCO001.0523.00225.009P	3005	pOriT	PTU-E1
ESCO001.0523.00225.010P	2920	pOriT	-
ESCO001.0523.00225.011P	2137	pOriT	PTU-E11
ESCO001.0523.00225.012P	1749	pOriT	PTU-E11
ESCO001.0523.00226.002P	92032	pNT	PTU-E5
ESCO001.0523.00227.002P	228947	pCONJ	PTU-HI2
ESCO001.0523.00227.003P	103234	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00227.004P	87173	pNT	PTU-FE
ESCO001.0523.00228.002P	147172	pCONJ	PTU-FE
ESCO001.0523.00229.002P	142368	pOriT	PTU-E68
ESCO001.0523.00229.003P	88757	pCONJ	PTU-E68
ESCO001.0523.00230.002P	112045	pdCONJ	-
ESCO001.0523.00230.003P	77345	pCONJ	-
ESCO001.0523.00230.004P	45777	pNT	-
ESCO001.0523.00231.002P	85570	pCONJ	PTU-I1
ESCO001.0523.00231.003P	80602	pNT	PTU-FE
ESCO001.0523.00231.004P	53914	pCONJ	PTU-X1
ESCO001.0523.00232.002P	100008	pCONJ	-
ESCO001.0523.00233.002P	134388	pCONJ	PTU-FE
ESCO001.0523.00233.003P	92421	pCONJ	PTU-I1
ESCO001.0523.00234.002P	86147	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00235.002P	74094	pCONJ	PTU-FE
ESCO001.0523.00236.002P	94881	pCONJ	PTU-I1
ESCO001.0523.00236.003P	72470	pOriT	PTU-FE
ESCO001.0523.00236.004P	62312	pOriT	PTU-FE
ESCO001.0523.00237.002P	123289	pCONJ	PTU-?
ESCO001.0523.00237.003P	95720	pCONJ	PTU-I1
ESCO001.0523.00237.004P	91199	PP	PTU-Y
ESCO001.0523.00237.005P	43592	pCONJ	PTU-X4
ESCO001.0523.00237.006P	39598	pCONJ	PTU-E80
ESCO001.0523.00238.002P	111523	pOriT	-
ESCO001.0523.00238.003P	96402	pCONJ	PTU-I1
ESCO001.0523.00238.004P	66332	pOriT	PTU-FE
ESCO001.0523.00238.005P	48774	PP	PTU-?
ESCO001.0523.00239.002P	147369	pCONJ	PTU-FE
ESCO001.0523.00239.003P	87770	pCONJ	PTU-I1
ESCO001.0523.00240.002P	109207	pCONJ	PTU-FE
ESCO001.0523.00240.003P	92420	pCONJ	PTU-I1
ESCO001.0523.00240.004P	31364	pCONJ	PTU-X4
ESCO001.0523.00240.005P	6800	pOriT	PTU-E52
ESCO001.0523.00240.006P	3173	pOriT	PTU-E1
